date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,8.54,8.97,9.11,8.54,72031,0,0,3947000000
2026-03-24,8.18,8.55,8.55,8.17,65851,0,0,3947000000
2026-03-23,8.52,7.99,8.61,7.91,75153,0,0,3947000000
2026-03-20,9.01,8.61,9.11,8.6,41440,0,0,3947000000
2026-03-19,9.05,8.94,9.11,8.91,30703,0,0,3947000000
2026-03-18,9.0,9.14,9.24,8.95,30835,0,0,3947000000
2026-03-17,9.27,9.04,9.33,9.02,28205,0,0,3761999999
2026-03-16,9.38,9.23,9.58,9.1,44408,0,0,3515999999
2026-03-13,9.79,9.45,9.79,9.42,38796,0,0,3515999999
2026-03-12,9.93,9.6,10.01,9.57,33995,0,0,3515999999
2026-03-11,10.28,9.9,10.34,9.87,61294,0,0,3515999999
2026-03-10,10.2,10.28,10.29,9.95,48993,0,0,3934000000
2026-03-09,10.0,10.03,10.13,9.82,53470,0,0,3934000000
2026-03-06,9.76,9.94,9.97,9.76,25203,0,0,3934000000
2026-03-05,10.01,9.78,10.02,9.71,31207,0,0,3934000000
2026-03-04,9.94,9.89,9.98,9.56,46993,0,0,3934000000
2026-03-03,10.1,9.85,10.26,9.81,50922,0,0,3934000000
2026-03-02,10.2,10.05,10.26,9.91,66914,0,0,3934000000
2026-02-27,10.08,10.34,10.42,10.08,59194,0,0,3934000000
2026-02-26,10.32,10.11,10.37,10.07,45744,0,0,3934000000
2026-02-25,10.37,10.31,10.37,10.13,41534,0,0,3934000000
2026-02-24,10.19,10.17,10.2,9.88,52685,0,0,3934000000
2026-02-13,9.97,10.05,10.3,9.97,58235,0,0,3934000000
2026-02-12,9.96,9.93,10.16,9.87,52469,0,0,3934000000
2026-02-11,9.85,10.0,10.02,9.7,68699,0,0,3934000000
2026-02-10,9.69,9.85,9.95,9.66,63170,0,0,3934000000
2026-02-09,9.81,9.66,9.88,9.61,50952,0,0,3934000000
2026-02-06,9.45,9.69,9.84,9.35,71544,0,0,3934000000
2026-02-05,9.39,9.46,9.53,9.32,40317,0,0,3934000000
2026-02-04,9.2,9.4,9.44,9.2,51034,0,0,3934000000
2026-02-03,9.07,9.25,9.33,9.01,47817,0,0,3934000000
2026-02-02,9.01,9.0,9.24,8.9,43421,0,0,3934000000
2026-01-30,8.74,9.01,9.05,8.74,35593,0,0,3934000000
2026-01-29,9.04,8.82,9.04,8.77,33187,0,0,3934000000
2026-01-28,9.08,8.9,9.08,8.88,32123,0,0,3934000000
2026-01-27,9.0,9.08,9.1,8.78,39603,0,0,3934000000
2026-01-26,9.35,9.06,9.38,9.01,62698,0,0,3934000000
2026-01-23,9.27,9.28,9.31,9.16,37089,0,0,3934000000
2026-01-22,9.2,9.27,9.32,9.1,37272,0,0,3934000000
2026-01-21,9.27,9.2,9.29,9.1,62072,0,0,3934000000
2026-01-20,9.62,9.29,9.7,9.2,68620,0,0,3934000000
2026-01-19,9.71,9.66,9.93,9.62,53002,0,0,3934000000
2026-01-16,9.69,9.62,9.77,9.42,56427,0,0,3934000000
2026-01-15,9.71,9.5,9.78,9.38,82843,0,0,3934000000
2026-01-14,9.95,9.72,10.06,9.52,109150,0,0,3934000000
2026-01-13,10.33,9.97,10.39,9.95,98579,0,0,3934000000
2026-01-12,10.12,10.39,10.5,10.01,152037,0,0,3934000000
2026-01-09,9.71,10.12,10.18,9.71,123746,0,0,3934000000
2026-01-08,9.99,9.9,10.09,9.86,95698,0,0,3934000000
2026-01-07,9.58,10.1,10.55,9.58,159244,0,0,3934000000
2026-01-06,9.71,9.61,9.89,9.51,77026,0,0,3934000000
2026-01-05,9.68,9.71,9.83,9.53,66632,0,0,3934000000
2025-12-31,9.95,9.71,10.03,9.68,95127,0,0,3934000000
2025-12-30,9.8,10.07,10.2,9.59,172674,0,0,3934000000
2025-12-29,9.58,9.89,10.09,9.47,153798,0,0,3934000000
2025-12-26,9.6,9.58,9.9,9.53,117374,0,0,3934000000
2025-12-25,9.34,9.8,10.2,9.2,197243,0,0,3934000000
2025-12-24,9.43,9.34,9.43,9.24,65329,0,0,3934000000
2025-12-23,9.52,9.41,9.63,9.21,98300,0,0,3934000000
2025-12-22,9.88,9.66,9.9,9.53,95440,0,0,3934000000
2025-12-19,9.9,9.8,10.03,9.62,136534,0,0,3934000000
2025-12-18,9.82,9.76,10.09,9.51,145316,0,0,3934000000
2025-12-17,9.75,9.89,10.58,9.59,194740,0,0,3934000000
2025-12-16,9.67,10.03,10.16,9.48,238297,0,0,3934000000
2025-12-15,9.18,9.67,9.91,9.04,220300,0,0,3934000000
2025-12-12,9.58,9.8,10.2,9.13,317054,0,0,3934000000
2025-12-11,8.47,9.27,9.27,8.37,124031,0,0,3934000000
2025-12-10,8.5,8.43,8.54,8.39,30888,0,0,3934000000
2025-12-09,8.64,8.45,8.72,8.43,35768,0,0,3934000000
2025-12-08,8.71,8.63,8.75,8.59,31934,0,0,3934000000
2025-12-05,8.63,8.67,8.69,8.51,26231,0,0,3934000000
2025-12-04,8.65,8.63,8.85,8.51,39567,0,0,3934000000
