date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,5.59,5.74,5.74,5.49,214442,0,0,3496000000
2026-03-24,5.35,5.63,5.66,5.29,257118,0,0,3496000000
2026-03-23,5.53,5.3,5.62,5.25,192287,0,0,3496000000
2026-03-20,5.61,5.59,5.75,5.51,221902,0,0,3496000000
2026-03-19,5.71,5.76,5.85,5.64,316087,0,0,3496000000
2026-03-18,5.64,5.61,5.66,5.5,115872,0,0,3496000000
2026-03-17,5.71,5.64,5.73,5.62,118294,0,0,3429000000
2026-03-16,5.75,5.71,5.87,5.68,139408,0,0,3228000000
2026-03-13,5.93,5.78,5.93,5.74,210200,0,0,3228000000
2026-03-12,5.77,5.94,5.97,5.73,356976,0,0,3228000000
2026-03-11,5.7,5.73,5.8,5.58,239624,0,0,3228000000
2026-03-10,5.72,5.73,5.82,5.68,260843,0,0,3508000000
2026-03-09,6.21,5.86,6.28,5.84,423895,0,0,3508000000
2026-03-06,5.74,5.88,5.93,5.58,381551,0,0,3508000000
2026-03-05,5.82,5.83,5.94,5.65,446888,0,0,3508000000
2026-03-04,6.5,5.86,6.5,5.86,742994,0,0,3508000000
2026-03-03,6.12,6.51,6.51,6.12,1015291,0,0,3508000000
2026-03-02,6.05,5.92,6.05,5.76,316695,0,0,3508000000
2026-02-27,5.57,5.72,5.73,5.55,122042,0,0,3508000000
2026-02-26,5.71,5.57,5.71,5.55,110324,0,0,3508000000
2026-02-25,5.69,5.71,5.76,5.67,89123,0,0,3508000000
2026-02-24,5.51,5.71,5.72,5.51,174893,0,0,3508000000
2026-02-13,5.59,5.47,5.61,5.47,115553,0,0,3508000000
2026-02-12,5.68,5.59,5.71,5.58,92320,0,0,3508000000
2026-02-11,5.7,5.68,5.72,5.66,68116,0,0,3508000000
2026-02-10,5.74,5.69,5.75,5.67,93744,0,0,3508000000
2026-02-09,5.73,5.74,5.75,5.69,101044,0,0,3508000000
2026-02-06,5.66,5.73,5.77,5.62,90722,0,0,3508000000
2026-02-05,5.75,5.71,5.75,5.65,96298,0,0,3508000000
2026-02-04,5.66,5.75,5.75,5.63,103579,0,0,3508000000
2026-02-03,5.65,5.67,5.68,5.57,104531,0,0,3508000000
2026-02-02,5.82,5.61,5.82,5.6,181898,0,0,3508000000
2026-01-30,6.03,5.87,6.07,5.85,213175,0,0,3508000000
2026-01-29,6.01,6.08,6.16,5.9,315514,0,0,3508000000
2026-01-28,5.89,6.06,6.06,5.84,252785,0,0,3508000000
2026-01-27,6.01,5.92,6.1,5.87,209967,0,0,3508000000
2026-01-26,6.18,6.0,6.2,5.96,338778,0,0,3508000000
2026-01-23,6.32,6.23,6.33,6.18,449152,0,0,3508000000
2026-01-22,6.21,6.47,6.7,6.15,583784,0,0,3508000000
2026-01-21,6.4,6.36,6.58,6.26,503136,0,0,3508000000
2026-01-20,6.6,6.19,6.62,6.11,586921,0,0,3508000000
2026-01-19,6.2,6.45,6.65,6.12,678632,0,0,3508000000
2026-01-16,5.97,6.12,6.12,5.89,526997,0,0,3508000000
2026-01-15,5.8,5.89,6.03,5.77,396285,0,0,3508000000
2026-01-14,5.74,5.79,5.92,5.7,318508,0,0,3508000000
2026-01-13,5.71,5.75,5.8,5.66,249841,0,0,3508000000
2026-01-12,5.7,5.7,5.71,5.61,163009,0,0,3508000000
2026-01-09,5.65,5.7,5.72,5.62,192467,0,0,3508000000
2026-01-08,5.55,5.68,5.74,5.53,269063,0,0,3508000000
2026-01-07,5.59,5.54,5.59,5.47,184052,0,0,3508000000
2026-01-06,5.55,5.57,5.63,5.53,130283,0,0,3508000000
2026-01-05,5.53,5.55,5.59,5.53,113505,0,0,3508000000
2025-12-31,5.55,5.53,5.58,5.48,115114,0,0,3508000000
2025-12-30,5.63,5.56,5.65,5.49,126668,0,0,3508000000
2025-12-29,5.67,5.62,5.71,5.61,105198,0,0,3508000000
2025-12-26,5.75,5.7,5.76,5.66,125898,0,0,3508000000
2025-12-25,5.69,5.75,5.76,5.67,129048,0,0,3508000000
2025-12-24,5.62,5.67,5.71,5.61,119052,0,0,3508000000
2025-12-23,5.71,5.65,5.75,5.6,144551,0,0,3508000000
2025-12-22,5.68,5.71,5.72,5.61,120650,0,0,3508000000
2025-12-19,5.58,5.67,5.67,5.54,136571,0,0,3508000000
2025-12-18,5.55,5.56,5.63,5.52,122808,0,0,3508000000
2025-12-17,5.53,5.57,5.6,5.47,156030,0,0,3508000000
2025-12-16,5.74,5.57,5.76,5.55,207826,0,0,3508000000
2025-12-15,5.86,5.75,5.9,5.74,245030,0,0,3508000000
2025-12-12,6.05,5.94,6.12,5.91,294890,0,0,3508000000
2025-12-11,6.13,6.0,6.14,5.93,219829,0,0,3508000000
2025-12-10,6.08,6.13,6.13,5.98,186130,0,0,3508000000
2025-12-09,6.05,6.06,6.14,5.95,251498,0,0,3508000000
2025-12-08,6.02,6.06,6.17,6.0,167816,0,0,3508000000
2025-12-05,6.08,6.0,6.11,5.93,212728,0,0,3508000000
2025-12-04,6.22,6.09,6.37,6.07,236952,0,0,3508000000
2025-12-03,6.3,6.27,6.39,6.19,279865,0,0,3508000000
2025-12-02,6.36,6.3,6.4,6.2,218752,0,0,3508000000
2025-12-01,6.41,6.39,6.57,6.36,223694,0,0,3508000000
2025-11-28,6.32,6.41,6.42,6.23,221335,0,0,3508000000
2025-11-27,6.2,6.33,6.44,6.17,250752,0,0,3508000000
