date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,40.19,40.61,41.52,40.18,18464,0,0,6498000000
2026-03-24,39.11,40.02,40.14,38.51,19572,0,0,6498000000
2026-03-23,40.6,38.49,41.07,38.0,38120,0,0,6498000000
2026-03-20,41.8,41.17,42.39,41.15,13703,0,0,6498000000
2026-03-19,43.01,41.8,43.17,41.72,17064,0,0,6498000000
2026-03-18,42.8,43.5,43.54,42.63,10527,0,0,6498000000
2026-03-17,43.92,42.85,44.01,42.7,15411,0,0,6403000000
2026-03-16,42.71,43.8,43.84,42.39,16391,0,0,6158000000
2026-03-13,42.2,42.7,43.27,42.2,12500,0,0,6158000000
2026-03-12,43.68,42.54,43.76,42.05,18644,0,0,6158000000
2026-03-11,44.3,43.61,44.37,43.43,14807,0,0,6158000000
2026-03-10,43.61,44.22,44.53,43.61,17887,0,0,6688000000
2026-03-09,43.88,43.04,43.88,41.7,32489,0,0,6688000000
2026-03-06,45.2,44.97,46.18,44.8,23546,0,0,6688000000
2026-03-05,46.7,45.45,47.27,45.01,24685,0,0,6688000000
2026-03-04,45.78,46.0,46.97,45.62,18898,0,0,6688000000
2026-03-03,47.74,46.1,49.3,46.1,36123,0,0,6688000000
2026-03-02,49.74,47.54,50.18,46.16,61484,0,0,6688000000
2026-02-27,51.51,50.34,51.87,50.05,22854,0,0,6688000000
2026-02-26,50.22,51.75,52.0,50.22,23627,0,0,6688000000
2026-02-25,49.12,50.1,50.33,48.69,23888,0,0,6688000000
2026-02-24,48.76,49.05,49.57,48.53,17902,0,0,6688000000
2026-02-13,48.55,48.63,49.48,48.4,15736,0,0,6688000000
2026-02-12,48.07,48.59,48.75,47.41,17617,0,0,6688000000
2026-02-11,47.88,48.02,48.33,47.51,13425,0,0,6688000000
2026-02-10,47.7,47.95,48.17,47.6,9961,0,0,6688000000
2026-02-09,47.0,47.85,47.95,46.54,16899,0,0,6688000000
2026-02-06,46.29,46.91,47.85,45.9,15256,0,0,6688000000
2026-02-05,47.86,46.35,48.12,46.21,17442,0,0,6688000000
2026-02-04,47.95,47.86,48.37,47.45,19908,0,0,6688000000
2026-02-03,48.4,48.15,48.6,47.53,22056,0,0,6688000000
2026-02-02,48.12,47.7,49.64,47.7,38466,0,0,6688000000
2026-01-30,47.65,48.3,49.9,47.53,59899,0,0,6688000000
2026-01-29,44.31,45.8,47.3,44.2,30975,0,0,6688000000
2026-01-28,45.8,44.66,46.7,44.22,28100,0,0,6688000000
2026-01-27,46.92,45.96,47.11,44.9,25065,0,0,6688000000
2026-01-26,48.11,47.05,48.59,46.63,29096,0,0,6688000000
