date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,5.76,5.79,5.8,5.66,184978,0,0,8671000000
2026-03-24,5.69,5.75,5.83,5.62,232679,0,0,8671000000
2026-03-23,5.51,5.64,5.74,5.49,339706,0,0,8671000000
2026-03-20,5.72,5.66,5.82,5.62,259651,0,0,8671000000
2026-03-19,5.75,5.73,5.85,5.66,360148,0,0,8671000000
2026-03-18,5.63,5.84,5.85,5.58,526843,0,0,8671000000
2026-03-17,5.5,5.58,5.74,5.46,308626,0,0,8611000000
2026-03-16,5.45,5.51,5.55,5.4,230387,0,0,8445999999
2026-03-13,5.2,5.46,5.63,5.19,416195,0,0,8445999999
2026-03-12,5.22,5.23,5.28,5.19,88447,0,0,8445999999
2026-03-11,5.21,5.23,5.25,5.15,127629,0,0,8445999999
2026-03-10,5.2,5.21,5.25,5.2,105469,0,0,8581000000
2026-03-09,5.28,5.19,5.34,5.16,148970,0,0,8581000000
2026-03-06,5.1,5.32,5.32,5.09,228826,0,0,8581000000
2026-03-05,5.23,5.12,5.27,5.09,172995,0,0,8581000000
2026-03-04,5.23,5.21,5.31,5.11,227406,0,0,8581000000
2026-03-03,5.17,5.29,5.43,5.16,438127,0,0,8581000000
2026-03-02,5.18,5.14,5.23,5.11,155478,0,0,8581000000
2026-02-27,5.18,5.26,5.26,5.17,116340,0,0,8581000000
2026-02-26,5.25,5.2,5.27,5.11,209830,0,0,8581000000
2026-02-25,5.22,5.27,5.29,5.2,101110,0,0,8581000000
2026-02-24,5.21,5.21,5.24,5.18,111582,0,0,8581000000
2026-02-13,5.24,5.21,5.34,5.21,100679,0,0,8581000000
2026-02-12,5.38,5.24,5.39,5.23,174661,0,0,8581000000
2026-02-11,5.36,5.4,5.47,5.3,188176,0,0,8581000000
2026-02-10,5.4,5.37,5.41,5.33,135389,0,0,8581000000
2026-02-09,5.45,5.42,5.46,5.38,138235,0,0,8581000000
2026-02-06,5.36,5.45,5.52,5.3,276928,0,0,8581000000
