date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,62.38,62.09,62.9,61.9,33458,0,0,24586000000
2026-03-24,62.88,62.36,62.98,61.5,28743,0,0,24586000000
2026-03-23,64.37,62.0,64.37,61.77,47873,0,0,24586000000
2026-03-20,66.68,65.02,67.1,65.02,39127,0,0,24586000000
2026-03-19,67.3,66.56,67.39,66.5,25635,0,0,24586000000
2026-03-18,68.07,67.66,68.39,67.52,17600,0,0,24586000000
2026-03-17,68.2,68.07,69.2,67.87,26865,0,0,24693000000
2026-03-16,67.73,68.2,68.35,67.45,14806,0,0,24551000000
2026-03-13,67.86,67.74,68.3,67.6,16433,0,0,24551000000
2026-03-12,68.5,68.04,68.5,67.81,15833,0,0,24551000000
2026-03-11,68.35,68.6,68.65,67.87,20155,0,0,24551000000
2026-03-10,67.57,68.4,68.49,67.31,23713,0,0,26356000000
2026-03-09,68.0,66.9,68.0,66.2,32881,0,0,26356000000
2026-03-06,67.0,68.17,68.35,66.82,29094,0,0,26356000000
2026-03-05,67.85,67.07,68.0,67.01,25185,0,0,26356000000
2026-03-04,67.6,67.11,68.4,67.11,30636,0,0,26356000000
2026-03-03,69.31,67.93,69.7,67.9,43679,0,0,26356000000
2026-03-02,70.01,69.32,70.46,69.28,40528,0,0,26356000000
2026-02-27,70.95,70.95,71.33,70.5,21883,0,0,26356000000
2026-02-26,71.7,70.75,71.89,70.71,37116,0,0,26356000000
2026-02-25,71.49,71.72,72.05,71.47,29424,0,0,26356000000
2026-02-24,73.0,71.66,73.35,71.59,39975,0,0,26356000000
2026-02-13,73.3,72.9,73.77,72.88,36368,0,0,26356000000
2026-02-12,74.95,73.3,75.0,73.13,48909,0,0,26356000000
2026-02-11,75.55,74.94,76.99,74.5,36195,0,0,26356000000
2026-02-10,76.35,75.51,76.52,74.92,47409,0,0,26356000000
2026-02-09,75.5,76.36,76.67,75.1,70707,0,0,26356000000
2026-02-06,75.77,75.45,76.33,74.56,88406,0,0,26356000000
2026-02-05,71.85,76.15,76.45,71.7,224773,0,0,26356000000
2026-02-04,71.42,71.65,71.88,70.86,30619,0,0,26356000000
2026-02-03,71.02,71.34,72.49,70.7,38430,0,0,26356000000
2026-02-02,72.6,70.53,73.66,70.53,58986,0,0,26356000000
2026-01-30,73.28,73.0,74.0,72.3,56691,0,0,26356000000
2026-01-29,71.17,73.49,73.54,70.5,100444,0,0,26356000000
2026-01-28,72.4,71.48,73.45,71.28,50842,0,0,26356000000
2026-01-27,73.3,72.5,73.3,71.51,43326,0,0,26356000000
2026-01-26,73.17,73.27,74.11,72.06,66132,0,0,26356000000
2026-01-23,71.61,73.18,74.0,71.6,74952,0,0,26356000000
2026-01-22,72.0,71.68,72.27,71.22,35019,0,0,26356000000
2026-01-21,71.38,71.9,72.72,70.83,66704,0,0,26356000000
2026-01-20,69.87,71.59,71.99,69.7,75613,0,0,26356000000
2026-01-19,69.68,69.87,70.62,69.32,52114,0,0,26356000000
2026-01-16,69.75,70.0,70.12,69.32,38062,0,0,26356000000
2026-01-15,70.4,69.67,71.06,69.52,47642,0,0,26356000000
2026-01-14,70.27,70.58,71.75,69.99,73896,0,0,26356000000
2026-01-13,70.25,70.27,70.5,69.82,52791,0,0,26356000000
2026-01-12,69.32,70.27,70.28,69.1,60230,0,0,26356000000
2026-01-09,68.91,69.32,69.68,68.78,39770,0,0,26356000000
2026-01-08,68.71,68.86,69.29,68.42,28530,0,0,26356000000
2026-01-07,69.48,68.78,69.48,68.56,47974,0,0,26356000000
2026-01-06,68.99,69.53,69.62,68.65,50065,0,0,26356000000
2026-01-05,68.48,68.8,68.88,67.85,40471,0,0,26356000000
2025-12-31,67.65,68.48,69.5,67.65,65097,0,0,26356000000
2025-12-30,67.28,67.17,68.68,66.98,45876,0,0,26356000000
2025-12-29,67.93,67.28,68.53,67.28,29475,0,0,26356000000
2025-12-26,67.63,67.92,68.3,67.62,27890,0,0,26356000000
2025-12-25,68.16,67.88,68.45,67.68,21724,0,0,26356000000
2025-12-24,67.86,68.16,68.27,67.47,21077,0,0,26356000000
2025-12-23,69.18,67.92,69.18,67.86,37039,0,0,26356000000
2025-12-22,68.41,69.1,69.75,68.2,47080,0,0,26356000000
2025-12-19,67.41,68.4,68.73,67.2,55056,0,0,26356000000
2025-12-18,67.33,67.21,67.65,67.17,28972,0,0,26356000000
2025-12-17,66.7,67.78,67.98,65.77,58910,0,0,26356000000
2025-12-16,66.66,66.74,67.66,66.66,51917,0,0,26356000000
2025-12-15,67.7,66.68,67.8,66.68,43974,0,0,26356000000
2025-12-12,67.8,67.7,67.99,67.05,35807,0,0,26356000000
2025-12-11,68.1,67.79,68.31,67.77,26507,0,0,26356000000
2025-12-10,68.3,68.01,68.36,67.78,29617,0,0,26356000000
2025-12-09,69.09,68.46,69.74,68.33,32055,0,0,26356000000
2025-12-08,69.0,69.19,69.46,69.0,22307,0,0,26356000000
2025-12-05,68.96,69.06,69.45,68.0,38909,0,0,26356000000
2025-12-04,70.12,69.04,70.12,68.96,47048,0,0,26356000000
2025-12-03,70.1,70.2,70.36,69.83,22796,0,0,26356000000
2025-12-02,70.34,70.06,70.34,70.01,20172,0,0,26356000000
2025-12-01,70.35,70.61,70.74,70.01,23179,0,0,26356000000
