date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,11.0,11.26,11.3,10.98,186255,0,0,7345000000
2026-03-24,11.05,11.08,11.14,10.71,198759,0,0,7345000000
2026-03-23,10.9,10.89,11.38,10.76,232027,0,0,7345000000
2026-03-20,12.23,11.38,12.35,11.32,300070,0,0,7345000000
2026-03-19,12.64,12.3,12.76,12.18,310391,0,0,7345000000
2026-03-18,13.04,12.88,13.09,12.69,291783,0,0,7345000000
2026-03-17,13.1,13.28,13.39,13.0,349895,0,0,7227000000
2026-03-16,13.66,13.53,14.0,13.5,463726,0,0,7103000000
2026-03-13,13.5,13.16,13.53,13.1,410093,0,0,7103000000
2026-03-12,13.7,13.87,14.18,13.69,569057,0,0,7103000000
2026-03-11,13.33,13.65,13.93,13.05,537579,0,0,7103000000
2026-03-10,13.44,13.2,13.5,13.05,355121,0,0,8023000000
2026-03-09,13.6,13.3,13.6,12.93,484019,0,0,8023000000
2026-03-06,13.6,14.0,14.2,13.58,527430,0,0,8023000000
2026-03-05,14.25,13.96,14.48,13.77,682767,0,0,8023000000
2026-03-04,13.5,13.92,14.05,13.33,701949,0,0,8023000000
2026-03-03,13.11,13.69,14.39,13.1,954273,0,0,8023000000
2026-03-02,13.0,13.08,13.34,12.83,446407,0,0,8023000000
2026-02-27,13.13,13.77,14.32,13.12,655725,0,0,8023000000
2026-02-26,13.68,13.13,13.85,13.07,397376,0,0,8023000000
2026-02-25,12.92,13.43,13.61,12.91,411903,0,0,8023000000
2026-02-24,12.8,12.91,13.1,12.78,197449,0,0,8023000000
2026-02-13,13.36,12.77,13.36,12.74,284542,0,0,8023000000
2026-02-12,13.65,13.2,13.66,13.2,486667,0,0,8023000000
2026-02-11,13.27,13.9,14.0,13.09,708758,0,0,8023000000
2026-02-10,13.24,13.27,13.47,13.21,254340,0,0,8023000000
2026-02-09,13.4,13.33,13.8,13.27,471830,0,0,8023000000
2026-02-06,13.04,13.17,13.45,12.82,398549,0,0,8023000000
2026-02-05,12.9,13.03,13.14,12.8,228943,0,0,8023000000
2026-02-04,12.88,12.97,13.09,12.79,190766,0,0,8023000000
2026-02-03,12.92,12.91,12.93,12.66,217147,0,0,8023000000
