date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,14.22,14.36,14.56,14.22,3828853,0,0,3719000000
2026-03-24,14.31,14.25,14.31,13.7,5335405,0,0,3719000000
2026-03-23,14.69,13.8,14.69,13.63,8278195,0,0,3719000000
2026-03-20,15.71,14.97,15.89,14.95,7418033,0,0,3719000000
2026-03-19,16.18,15.78,16.18,15.71,5216714,0,0,3719000000
2026-03-18,15.54,16.14,16.18,15.45,5525434,0,0,3719000000
2026-03-17,16.0,15.47,16.05,15.42,5100207,0,0,3574000000
2026-03-16,15.8,15.98,15.99,15.54,4143573,0,0,3574000000
2026-03-13,16.38,15.93,16.53,15.87,6055589,0,0,3574000000
2026-03-12,16.59,16.54,17.04,16.42,6699632,0,0,3574000000
2026-03-11,16.99,16.57,17.15,16.56,5557618,0,0,3574000000
2026-03-10,17.2,17.0,17.39,16.79,9062582,0,0,4086999999
2026-03-09,15.78,16.99,17.23,15.49,11099710,0,0,4086999999
2026-03-06,15.69,15.98,16.1,15.63,4075126,0,0,4086999999
2026-03-05,15.91,15.67,15.94,15.6,5137687,0,0,4086999999
2026-03-04,15.32,15.35,15.66,15.16,6769896,0,0,4086999999
2026-03-03,16.88,15.56,17.06,15.55,10394961,0,0,4086999999
2026-03-02,17.25,16.98,17.49,16.83,9292017,0,0,4086999999
2026-02-27,17.04,17.64,17.99,16.95,9017335,0,0,4086999999
2026-02-26,17.09,17.05,17.14,16.85,5640063,0,0,4086999999
2026-02-25,17.3,17.06,17.47,16.93,5791861,0,0,4086999999
2026-02-24,17.98,17.13,17.98,16.88,8697106,0,0,4086999999
2026-02-13,17.0,17.55,17.9,16.94,8634370,0,0,4086999999
2026-02-12,16.96,17.2,17.39,16.77,6222006,0,0,4086999999
2026-02-11,16.88,16.78,17.15,16.73,4703469,0,0,4086999999
2026-02-10,16.58,16.93,17.3,16.58,6321826,0,0,4086999999
2026-02-09,16.25,16.72,16.91,16.2,7011615,0,0,4086999999
2026-02-06,15.9,15.98,16.2,15.8,4198589,0,0,4086999999
2026-02-05,16.19,16.03,16.24,15.99,4261078,0,0,4086999999
2026-02-04,16.64,16.23,16.8,16.07,6546284,0,0,4086999999
2026-02-03,16.35,16.66,16.72,16.2,6689897,0,0,4086999999
2026-02-02,16.98,16.13,17.14,16.09,9818090,0,0,4086999999
2026-01-30,17.6,17.13,17.7,17.0,8583038,0,0,4086999999
2026-01-29,17.56,17.64,18.43,17.17,10891319,0,0,4086999999
2026-01-28,17.61,17.57,18.16,17.51,7638533,0,0,4086999999
2026-01-27,17.61,17.64,17.85,17.07,5543032,0,0,4086999999
2026-01-26,17.95,17.68,18.17,17.32,9120569,0,0,4086999999
2026-01-23,17.86,17.93,18.26,17.71,7654390,0,0,4086999999
2026-01-22,17.85,17.79,17.98,17.51,7420631,0,0,4086999999
2026-01-21,17.16,17.83,18.08,17.0,10073515,0,0,4086999999
2026-01-20,17.71,17.18,17.75,16.91,8272499,0,0,4086999999
2026-01-19,18.05,17.57,18.05,17.47,8559426,0,0,4086999999
2026-01-16,18.92,18.12,18.92,17.78,12815137,0,0,4086999999
2026-01-15,18.86,18.75,19.18,18.46,13121172,0,0,4086999999
2026-01-14,18.36,18.86,19.53,18.19,21248703,0,0,4086999999
2026-01-13,18.4,18.18,19.0,17.81,19757338,0,0,4086999999
2026-01-12,16.82,18.38,18.55,16.82,18169178,0,0,4086999999
2026-01-09,16.1,16.67,16.7,16.0,8763135,0,0,4086999999
2026-01-08,15.8,16.08,16.23,15.8,5527238,0,0,4086999999
2026-01-07,15.77,15.88,16.1,15.77,4896136,0,0,4086999999
2026-01-06,15.77,15.83,15.86,15.55,6244133,0,0,4086999999
2026-01-05,15.3,15.71,15.81,15.25,6370409,0,0,4086999999
2025-12-31,15.33,15.2,15.41,15.13,6404103,0,0,4086999999
2025-12-30,15.16,15.25,15.44,15.05,4144086,0,0,4086999999
2025-12-29,15.05,15.16,15.24,15.0,3064864,0,0,4086999999
2025-12-26,15.14,15.15,15.35,15.06,4215731,0,0,4086999999
2025-12-25,15.14,15.17,15.23,15.02,3218530,0,0,4086999999
2025-12-24,15.02,15.14,15.17,14.93,2598980,0,0,4086999999
2025-12-23,15.18,14.95,15.3,14.93,3565571,0,0,4086999999
2025-12-22,15.1,15.25,15.65,15.01,4501096,0,0,4086999999
2025-12-19,15.13,15.02,15.3,14.98,3622552,0,0,4086999999
2025-12-18,14.67,15.1,15.25,14.65,4685761,0,0,4086999999
2025-12-17,14.69,14.8,14.8,14.36,4148013,0,0,4086999999
2025-12-16,14.72,14.58,14.92,14.58,4658414,0,0,4086999999
2025-12-15,14.99,14.67,14.99,14.51,4741732,0,0,4086999999
2025-12-12,15.11,14.98,15.2,14.93,7462484,0,0,4086999999
2025-12-11,15.49,15.1,15.5,15.08,4815422,0,0,4086999999
2025-12-10,15.56,15.49,15.69,15.29,4394531,0,0,4086999999
2025-12-09,15.85,15.71,16.33,15.71,5007027,0,0,4086999999
2025-12-08,15.83,15.85,16.16,15.8,3900075,0,0,4086999999
2025-12-05,15.55,15.79,15.84,15.26,3757416,0,0,4086999999
2025-12-04,15.65,15.37,15.84,15.31,3776199,0,0,4086999999
2025-12-03,16.44,15.71,16.44,15.68,5942389,0,0,4086999999
2025-12-02,16.63,16.37,16.78,16.34,4356082,0,0,4086999999
2025-12-01,16.64,16.75,16.97,16.55,4159076,0,0,4086999999
2025-11-28,16.52,16.78,16.97,16.4,3646674,0,0,4086999999
2025-11-27,16.6,16.59,16.83,16.43,3781689,0,0,4086999999
2025-11-26,16.74,16.61,17.12,16.57,4274986,0,0,4086999999
2025-11-25,16.7,16.87,17.16,16.69,5879297,0,0,4086999999
2025-11-24,16.11,16.65,16.75,15.81,5944887,0,0,4086999999
2025-11-21,16.43,16.0,16.81,15.8,6919127,0,0,4086999999
2025-11-20,16.71,16.61,16.92,16.33,6279713,0,0,4086999999
2025-11-19,17.19,16.87,17.22,16.74,6082015,0,0,4086999999
2025-11-18,16.89,17.18,17.43,16.6,10126682,0,0,4086999999
2025-11-17,16.15,17.02,17.16,16.03,7818881,0,0,4086999999
2025-11-14,16.54,16.06,16.59,16.06,4120806,0,0,4086999999
2025-11-13,16.55,16.6,16.71,16.33,4406285,0,0,4086999999
2025-11-12,16.66,16.43,16.78,16.37,3833731,0,0,4086999999
2025-11-11,16.85,16.74,16.96,16.55,4005048,0,0,4086999999
2025-11-10,16.73,16.85,17.15,16.65,5772851,0,0,4086999999
2025-11-07,16.75,16.67,16.97,16.63,6189536,0,0,4086999999
2025-11-06,16.32,16.95,17.03,16.27,10039245,0,0,4086999999
2025-11-05,16.2,16.32,16.47,15.82,6735946,0,0,4086999999
2025-11-04,16.38,16.29,16.6,16.08,4569981,0,0,4086999999
2025-11-03,16.37,16.44,16.64,16.06,6970965,0,0,4086999999
2025-10-31,15.61,16.22,16.44,15.53,9510059,0,0,4086999999
2025-10-30,15.53,15.61,15.97,15.38,6311350,0,0,4086999999
2025-10-29,15.62,15.51,15.72,15.3,5669765,0,0,4086999999
2025-10-28,15.58,15.72,15.84,15.51,4282902,0,0,4086999999
2025-10-27,15.62,15.63,15.86,15.46,4918410,0,0,4086999999
2025-10-24,15.43,15.6,15.73,15.32,4114762,0,0,4086999999
2025-10-23,15.36,15.35,15.37,15.05,4164983,0,0,4086999999
2025-10-22,15.3,15.26,15.5,15.21,3046980,0,0,4086999999
2025-10-21,14.99,15.38,15.6,14.91,5558523,0,0,4086999999
