date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,87.01,84.7,89.17,82.87,5142250,0,0,12865000000
2026-03-24,84.0,85.71,85.8,81.12,2784858,0,0,12865000000
2026-03-23,85.04,83.0,86.56,81.2,5425499,0,0,12865000000
2026-03-20,89.76,88.36,91.77,87.5,3382573,0,0,12865000000
2026-03-19,93.0,89.34,94.35,88.6,6155354,0,0,12865000000
2026-03-18,94.6,97.34,99.0,94.6,5196127,0,0,12865000000
2026-03-17,96.98,94.6,99.13,94.5,4764191,0,0,12607000000
2026-03-16,91.0,96.7,98.45,87.01,5729606,0,0,12607000000
2026-03-13,89.2,92.5,96.63,88.3,5792301,0,0,12607000000
2026-03-12,89.01,90.09,93.16,88.03,3948808,0,0,12607000000
2026-03-11,94.42,89.86,95.57,89.23,4098177,0,0,13569999999
2026-03-10,92.5,94.45,95.69,91.5,4419701,0,0,13569999999
2026-03-09,86.66,88.8,89.68,84.67,6196458,0,0,13569999999
2026-03-06,93.16,94.5,95.5,91.58,4155497,0,0,13569999999
2026-03-05,96.0,94.82,100.5,93.03,7076844,0,0,13569999999
2026-03-04,91.8,91.41,95.0,90.68,3481105,0,0,13569999999
2026-03-03,98.8,93.35,100.95,92.59,5904900,0,0,13569999999
2026-03-02,100.01,98.8,104.47,97.7,5891856,0,0,13569999999
2026-02-27,105.29,103.6,107.5,101.0,7537653,0,0,13569999999
2026-02-26,106.0,106.6,108.5,101.12,8413046,0,0,13569999999
2026-02-25,89.0,104.11,104.11,84.97,10648108,0,0,13569999999
2026-02-24,85.19,86.76,88.9,82.01,4912376,0,0,13569999999
2026-02-13,83.5,84.87,86.92,82.09,3571556,0,0,13569999999
2026-02-12,82.88,83.76,84.82,81.38,3832932,0,0,13569999999
2026-02-11,83.98,82.07,84.99,81.81,3323684,0,0,13569999999
2026-02-10,85.28,83.83,87.07,83.68,4149913,0,0,13569999999
2026-02-09,87.5,85.98,91.0,85.5,6783014,0,0,13569999999
2026-02-06,87.94,85.68,89.46,84.68,4061353,0,0,13569999999
2026-02-05,82.82,89.04,89.89,82.5,5504181,0,0,13569999999
2026-02-04,89.0,86.0,90.39,84.5,4188486,0,0,13569999999
2026-02-03,86.6,86.68,89.0,84.5,4893225,0,0,13569999999
2026-02-02,86.01,84.16,87.18,82.28,6014780,0,0,13569999999
2026-01-30,82.0,88.1,88.3,80.09,8622569,0,0,13569999999
2026-01-29,94.5,86.19,95.19,85.9,6302123,0,0,13569999999
2026-01-28,92.97,92.65,93.84,90.0,6789265,0,0,13569999999
2026-01-27,85.0,94.34,94.38,83.7,10154466,0,0,13569999999
2026-01-26,86.55,86.5,88.58,85.0,8943630,0,0,13569999999
2026-01-23,89.76,86.55,90.57,84.7,11743366,0,0,13569999999
2026-01-22,93.52,90.08,94.65,87.01,9545279,0,0,13569999999
2026-01-21,89.49,90.07,92.48,88.0,10031707,0,0,13569999999
2026-01-20,89.37,91.5,94.88,88.7,9728825,0,0,13569999999
2026-01-19,90.3,89.37,94.0,87.0,11555465,0,0,13569999999
2026-01-16,80.99,86.65,88.66,80.99,12746293,0,0,13569999999
2026-01-15,69.12,80.95,83.36,69.09,12909865,0,0,13569999999
2026-01-14,67.55,70.05,71.5,67.07,9159202,0,0,13569999999
2026-01-13,67.0,65.99,69.21,65.53,8501428,0,0,13569999999
2026-01-12,71.5,68.98,71.5,66.71,12689798,0,0,13569999999
2026-01-09,68.0,72.15,74.88,67.2,15191946,0,0,13569999999
2026-01-08,64.78,70.34,71.71,63.99,13737094,0,0,13569999999
2026-01-07,58.6,65.02,66.9,58.0,17012495,0,0,13569999999
2026-01-06,56.7,56.42,57.65,55.66,6606778,0,0,13569999999
2026-01-05,52.28,57.09,58.0,52.01,10921003,0,0,13569999999
2025-12-31,50.8,51.76,54.66,50.73,6674025,0,0,13569999999
2025-12-30,52.8,50.8,52.8,50.7,5079325,0,0,13569999999
2025-12-29,52.01,53.31,53.58,50.98,7080616,0,0,13569999999
2025-12-26,51.99,52.36,53.15,51.31,4777721,0,0,13569999999
2025-12-25,52.66,52.03,53.33,51.33,4992780,0,0,13569999999
2025-12-24,54.1,52.58,54.25,51.0,11020917,0,0,13569999999
2025-12-23,53.0,55.3,57.62,52.8,17609299,0,0,13569999999
2025-12-22,51.9,52.49,52.75,50.68,5327200,0,0,13569999999
2025-12-19,53.73,51.49,53.73,51.16,4589813,0,0,13569999999
2025-12-18,54.01,53.24,54.39,52.53,4521352,0,0,13569999999
2025-12-17,53.82,54.65,55.0,51.81,6223478,0,0,13569999999
2025-12-16,54.61,53.55,54.88,53.1,4292205,0,0,13569999999
2025-12-15,52.68,53.9,54.99,52.68,6630325,0,0,13569999999
2025-12-12,51.49,52.3,53.3,51.29,6403615,0,0,13569999999
2025-12-11,53.02,51.31,53.54,51.06,6684268,0,0,13569999999
2025-12-10,50.04,53.45,53.79,49.94,10584658,0,0,13569999999
2025-12-09,46.57,50.3,50.88,46.09,8289770,0,0,13569999999
2025-12-08,44.9,46.69,47.06,44.9,6043509,0,0,13569999999
2025-12-05,40.68,43.91,44.48,40.11,4713691,0,0,13569999999
2025-12-04,40.84,40.68,41.39,40.12,1780601,0,0,13569999999
2025-12-03,42.1,40.84,42.18,40.61,2402407,0,0,13569999999
2025-12-02,42.79,41.9,42.79,41.5,1816578,0,0,13569999999
2025-12-01,43.53,42.82,43.53,42.52,1545995,0,0,13569999999
2025-11-28,42.79,43.1,43.57,42.3,1360036,0,0,13569999999
2025-11-27,42.56,42.79,44.25,42.56,1890463,0,0,13569999999
2025-11-26,43.35,42.79,43.8,42.5,1841805,0,0,13569999999
2025-11-25,42.93,43.48,44.7,42.92,2459526,0,0,13569999999
2025-11-24,42.21,42.9,43.3,41.75,1965206,0,0,13569999999
2025-11-21,43.29,42.15,45.13,41.93,2467963,0,0,13569999999
2025-11-20,44.88,44.15,45.72,44.14,2369664,0,0,13569999999
2025-11-19,45.81,44.2,45.81,43.0,2889556,0,0,13569999999
2025-11-18,45.1,45.17,46.18,45.01,2203492,0,0,13569999999
2025-11-17,47.0,45.89,47.41,45.5,2448017,0,0,13569999999
2025-11-14,48.03,46.74,48.03,46.74,2910875,0,0,13569999999
2025-11-13,48.62,48.52,49.69,48.25,2643323,0,0,13569999999
2025-11-12,49.8,49.28,49.8,48.5,2650059,0,0,13569999999
2025-11-11,51.95,50.13,51.95,49.1,4442437,0,0,13569999999
2025-11-10,52.8,51.91,53.0,50.2,4604450,0,0,13569999999
2025-11-07,50.8,52.44,53.58,50.3,4677751,0,0,13569999999
2025-11-06,51.61,51.19,52.2,50.93,4452023,0,0,13569999999
2025-11-05,47.21,50.9,51.45,47.21,7083871,0,0,13569999999
2025-11-04,48.76,48.46,50.98,48.06,4769391,0,0,13569999999
2025-11-03,47.64,49.0,49.5,47.26,4629000,0,0,13569999999
