date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,10.11,10.33,10.39,10.0,127355,0,0,5021000000
2026-03-24,9.87,10.18,10.18,9.7,181570,0,0,5021000000
2026-03-23,10.1,9.7,10.12,9.58,189746,0,0,5021000000
2026-03-20,10.49,10.28,10.57,10.27,136755,0,0,5021000000
2026-03-19,10.88,10.49,10.94,10.45,182023,0,0,5021000000
2026-03-18,10.95,10.85,11.07,10.62,180116,0,0,4948000000
2026-03-17,11.0,10.94,11.22,10.91,217663,0,0,4715000000
2026-03-16,10.74,11.19,11.2,10.74,295760,0,0,4715000000
2026-03-13,10.99,10.73,11.06,10.68,212805,0,0,4715000000
2026-03-12,11.12,11.04,11.25,10.98,226706,0,0,4715000000
2026-03-11,11.21,11.1,11.3,10.97,248099,0,0,5099000000
2026-03-10,10.86,11.17,11.28,10.72,345114,0,0,5099000000
2026-03-09,11.59,10.92,11.78,10.89,448702,0,0,5099000000
2026-03-06,10.96,11.18,11.31,10.71,427792,0,0,5099000000
2026-03-05,11.61,11.16,11.79,11.01,609593,0,0,5099000000
2026-03-04,12.2,11.85,12.41,11.85,625768,0,0,5099000000
2026-03-03,12.38,13.17,13.17,12.18,1045210,0,0,5099000000
2026-03-02,11.29,11.97,11.97,10.71,582954,0,0,5099000000
2026-02-27,10.69,10.88,10.89,10.69,131834,0,0,5099000000
2026-02-26,10.7,10.66,10.86,10.59,124101,0,0,5099000000
2026-02-25,10.63,10.76,11.15,10.52,240082,0,0,5099000000
2026-02-24,10.41,10.62,10.73,10.41,166387,0,0,5099000000
2026-02-13,10.46,10.16,10.5,10.15,95999,0,0,5099000000
2026-02-12,10.43,10.4,10.74,10.4,128851,0,0,5099000000
2026-02-11,10.3,10.43,10.45,10.27,91159,0,0,5099000000
2026-02-10,10.33,10.31,10.36,10.18,76764,0,0,5099000000
2026-02-09,10.35,10.28,10.37,10.23,81565,0,0,5099000000
2026-02-06,10.18,10.26,10.35,10.02,111620,0,0,5099000000
2026-02-05,10.21,10.23,10.39,10.14,125471,0,0,5099000000
2026-02-04,10.1,10.29,10.51,10.06,164950,0,0,5099000000
2026-02-03,10.41,10.14,10.44,9.97,203505,0,0,5099000000
2026-02-02,10.5,10.28,10.76,10.28,238016,0,0,5099000000
2026-01-30,11.07,10.93,11.37,10.83,268043,0,0,5099000000
2026-01-29,10.75,11.18,11.5,10.71,421623,0,0,5099000000
2026-01-28,10.95,10.87,11.13,10.81,318109,0,0,5099000000
2026-01-27,10.6,10.94,11.25,10.52,442621,0,0,5099000000
2026-01-26,10.46,10.66,10.74,10.34,263165,0,0,5099000000
2026-01-23,10.36,10.45,10.45,10.29,114838,0,0,5099000000
2026-01-22,10.22,10.36,10.36,10.2,115577,0,0,5099000000
2026-01-21,10.18,10.22,10.25,10.05,84531,0,0,5099000000
2026-01-20,10.37,10.22,10.37,10.14,108853,0,0,5099000000
2026-01-19,10.29,10.33,10.4,10.22,111297,0,0,5099000000
2026-01-16,10.33,10.25,10.33,10.21,121075,0,0,5099000000
2026-01-15,10.15,10.38,10.62,10.14,242787,0,0,5099000000
2026-01-14,10.27,10.2,10.34,10.09,182954,0,0,5099000000
2026-01-13,10.17,10.33,10.5,10.12,267964,0,0,5099000000
2026-01-12,10.06,10.15,10.15,10.0,137551,0,0,5099000000
2026-01-09,9.97,10.03,10.07,9.94,106173,0,0,5099000000
2026-01-08,9.92,10.0,10.04,9.92,79498,0,0,5099000000
2026-01-07,10.01,9.96,10.08,9.91,94873,0,0,5099000000
2026-01-06,9.92,10.0,10.0,9.85,83137,0,0,5099000000
2026-01-05,9.85,9.93,9.93,9.8,72247,0,0,5099000000
2025-12-31,9.81,9.85,9.95,9.81,64373,0,0,5099000000
2025-12-30,9.95,9.81,9.98,9.8,88471,0,0,5099000000
2025-12-29,10.0,9.94,10.03,9.92,75922,0,0,5099000000
2025-12-26,10.11,10.05,10.3,10.03,133028,0,0,5099000000
2025-12-25,10.27,10.21,10.34,10.09,175422,0,0,5099000000
2025-12-24,9.96,10.02,10.08,9.91,64008,0,0,5099000000
2025-12-23,10.3,10.04,10.35,10.0,185053,0,0,5099000000
2025-12-22,10.0,10.4,10.54,9.93,174506,0,0,5099000000
2025-12-19,9.82,10.0,10.0,9.81,70937,0,0,5099000000
2025-12-18,9.95,9.85,10.0,9.85,63152,0,0,5099000000
2025-12-17,9.8,9.83,9.87,9.66,66254,0,0,5099000000
2025-12-16,9.99,9.8,10.02,9.74,77226,0,0,5099000000
2025-12-15,10.0,10.0,10.08,9.92,54931,0,0,5099000000
2025-12-12,10.05,10.03,10.11,9.94,68819,0,0,5099000000
2025-12-11,10.26,10.05,10.29,10.05,102392,0,0,5099000000
2025-12-10,10.27,10.33,10.5,10.2,90727,0,0,5099000000
2025-12-09,10.32,10.28,10.52,10.27,103619,0,0,5099000000
2025-12-08,10.26,10.34,10.38,10.21,92591,0,0,5099000000
2025-12-05,10.16,10.24,10.26,10.05,63619,0,0,5099000000
2025-12-04,10.25,10.16,10.36,10.14,63330,0,0,5099000000
2025-12-03,10.22,10.23,10.29,10.17,80331,0,0,5099000000
2025-12-02,10.34,10.25,10.34,10.17,74328,0,0,5099000000
2025-12-01,10.22,10.36,10.38,10.19,95555,0,0,5099000000
2025-11-28,10.1,10.21,10.25,10.05,102670,0,0,5099000000
2025-11-27,10.18,10.04,10.18,10.01,68540,0,0,5099000000
2025-11-26,10.1,10.1,10.22,10.06,79554,0,0,5099000000
2025-11-25,10.03,10.15,10.18,9.91,94769,0,0,5099000000
2025-11-24,9.93,10.03,10.04,9.82,110465,0,0,5099000000
2025-11-21,10.16,9.9,10.26,9.9,147824,0,0,5099000000
2025-11-20,10.46,10.26,10.46,10.22,100333,0,0,5099000000
2025-11-19,10.58,10.38,10.67,10.32,131722,0,0,5099000000
2025-11-18,10.91,10.58,11.02,10.52,198652,0,0,5099000000
2025-11-17,11.08,11.07,11.27,10.95,191382,0,0,5099000000
2025-11-14,10.81,10.99,11.1,10.78,202385,0,0,5099000000
2025-11-13,10.81,10.87,10.88,10.71,119013,0,0,5099000000
2025-11-12,10.98,10.8,11.07,10.71,181012,0,0,5099000000
