date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,1.31,1.33,1.34,1.3,401422,0,0,12308000000
2026-03-24,1.31,1.31,1.32,1.28,389829,0,0,12308000000
2026-03-23,1.33,1.29,1.34,1.29,568824,0,0,12308000000
2026-03-20,1.36,1.36,1.38,1.35,424041,0,0,12308000000
2026-03-19,1.4,1.36,1.42,1.36,839122,0,0,12308000000
2026-03-18,1.5,1.43,1.51,1.43,813430,0,0,12123000000
2026-03-17,1.5,1.5,1.52,1.5,275270,0,0,11938000000
2026-03-16,1.51,1.5,1.52,1.5,137919,0,0,11938000000
2026-03-13,1.51,1.51,1.53,1.51,191387,0,0,11938000000
2026-03-12,1.51,1.52,1.54,1.5,305049,0,0,11938000000
2026-03-11,1.52,1.51,1.52,1.5,179276,0,0,12586000000
2026-03-10,1.51,1.52,1.52,1.5,126290,0,0,12586000000
2026-03-09,1.51,1.51,1.51,1.49,211339,0,0,12586000000
2026-03-06,1.51,1.52,1.53,1.5,201657,0,0,12586000000
2026-03-05,1.51,1.51,1.52,1.5,178605,0,0,12586000000
2026-03-04,1.51,1.5,1.52,1.49,244035,0,0,12586000000
2026-03-03,1.53,1.52,1.55,1.51,239527,0,0,12586000000
2026-03-02,1.55,1.54,1.56,1.53,278150,0,0,12586000000
2026-02-27,1.54,1.57,1.58,1.53,219173,0,0,12586000000
2026-02-26,1.55,1.54,1.57,1.53,226087,0,0,12586000000
2026-02-25,1.54,1.56,1.58,1.53,332652,0,0,12586000000
2026-02-24,1.53,1.53,1.54,1.51,285989,0,0,12586000000
2026-02-13,1.57,1.55,1.58,1.55,203307,0,0,12586000000
2026-02-12,1.58,1.57,1.59,1.56,195641,0,0,12586000000
2026-02-11,1.59,1.58,1.6,1.58,155029,0,0,12586000000
2026-02-10,1.61,1.59,1.61,1.58,287239,0,0,12586000000
2026-02-09,1.57,1.62,1.62,1.56,512005,0,0,12586000000
2026-02-06,1.55,1.59,1.61,1.54,562952,0,0,12586000000
